SG_UF_ESCOLA,NO_MUNICIPIO_ESCOLA,NO_ESCOLA_EDUCACENSO,TP_DEPENDENCIA_ADM_ESCOLA,TP_LOCALIZACAO_ESCOLA,NU_MATRICULAS,NU_PARTICIPANTES_NEC_ESP,NU_PARTICIPANTES,NU_TAXA_PARTICIPACAO,NU_MEDIA_CN,NU_MEDIA_CH,NU_MEDIA_LP,NU_MEDIA_MT,NU_MEDIA_RED,INSE,PC_FORMACAO_DOCENTE,NU_TAXA_PERMANENCIA,NU_TAXA_APROVACAO,NU_TAXA_REPROVACAO,NU_TAXA_ABANDONO,PORTE_ESCOLA
PB,Belém do Brejo do Cruz,EEEFM NOSSA SENHORA DA CONCEICAO,2,1,48,0.0,36,75.0,512.96,413.24,449.89,414.17,496.67,Grupo 1,39.8,83.33,75.1,11.7,13.2,De 31 a 60 alunos
PB,Bom Sucesso,EEEFM PADRE ARISTIDES,2,1,44,0.0,33,75.0,498.02,431.02,465.49,423.57,479.39,Grupo 1,43.0,87.88,87.7,4.8,7.5,De 31 a 60 alunos
PB,Brejo do Cruz,EEEFM PROF JOSE OLIMPIO MAIA,2,1,101,0.0,74,73.27,513.13,437.04,450.07,431.48,470.81,Grupo 1,68.6,62.16,78.3,4.5,17.2,Maior que 90 alunos
PB,São José do Brejo do Cruz,EEEFM OLIVIA SARAIVA MAIA,2,1,15,0.0,13,86.67,539.88,454.28,465.92,478.42,527.69,Grupo 1,37.8,69.23,100.0,0.0,0.0,De 1 a 30 alunos
PB,Brejo dos Santos,EEEFM PROFª DIVA GUEDES DE ARAUJO,2,1,63,3.0,39,61.9,520.38,430.65,455.87,413.77,472.31,Grupo 2,43.2,89.74,79.7,12.4,7.9,De 61 a 90 alunos
PB,Catolé do Rocha,C EDUC DE APERFEICOAMENTO DE CATOLE,4,1,34,0.0,26,76.47,507.95,444.95,447.73,445.32,510.0,Grupo 2,38.5,73.08,94.7,2.7,2.6,De 31 a 60 alunos
PB,Catolé do Rocha,COL NORMAL FRANCISCA MENDES,4,1,39,1.0,34,87.18,579.22,478.41,504.39,479.65,612.35,Grupo 3,36.8,73.53,90.3,7.6,2.1,De 31 a 60 alunos
PB,Catolé do Rocha,COLEGIO TECNICO DOM VITAL,4,1,25,0.0,25,100.0,594.26,510.56,537.66,536.02,624.0,Grupo 3,50.0,80.0,95.5,4.5,0.0,De 1 a 30 alunos
PB,Catolé do Rocha,EDUCANDARIO JOAO AGRIPINO FILHO,4,1,39,0.0,36,92.31,580.96,514.23,521.41,571.9,592.78,Grupo 4,41.7,72.22,90.2,9.1,0.7,De 31 a 60 alunos
PB,Catolé do Rocha,ESC AGROTECNICA DO CAJUEIRO CAMPUS IV - UEPB,2,2,39,0.0,39,100.0,570.79,477.25,517.33,475.41,572.31,Grupo 1,67.2,97.44,99.2,0.0,0.8,De 31 a 60 alunos
PB,Catolé do Rocha,EEEFM OBDULIA DANTAS,2,1,149,0.0,80,53.69,520.16,435.07,467.6,416.93,486.0,Grupo 1,59.6,87.5,81.2,6.2,12.6,Maior que 90 alunos
PB,Jericó,EEEFM FRANCISCO MAIA,2,1,43,0.0,28,65.12,549.34,441.35,474.08,428.01,548.57,Grupo 1,32.5,78.57,73.8,3.4,22.8,De 31 a 60 alunos
PB,Mato Grosso,EEEFM JOSE SERAFIM DE LIMA,2,1,17,0.0,10,58.82,522.44,417.3,456.53,411.0,404.0,Grupo 1,19.4,80.0,91.2,0.0,8.8,De 1 a 30 alunos
PB,Lagoa,EEEFM FREI BRUNO,2,1,46,0.0,25,54.35,516.72,437.18,472.34,422.77,507.2,Grupo 1,45.5,92.0,86.3,0.7,13.0,De 31 a 60 alunos
PB,Riacho dos Cavalos,EEEFM DANIEL CARNEIRO,2,1,36,0.0,27,75.0,560.96,449.95,494.74,480.49,565.93,Grupo 2,58.8,85.19,84.1,2.8,13.1,De 31 a 60 alunos
PB,São Bento,EEEFM JOAO SILVEIRA GUIMARAES,2,1,203,1.0,169,83.25,537.94,448.47,473.84,444.09,517.04,Grupo 1,69.0,85.8,73.6,10.5,15.9,Maior que 90 alunos
PB,São João do Rio do Peixe,ENE MIN JOSE AMERICO DE ALMEIDA,2,1,52,0.0,31,59.62,516.25,441.79,463.57,413.07,476.13,Grupo 1,41.0,80.65,90.4,5.4,4.2,De 31 a 60 alunos
PB,São João do Rio do Peixe,EEEFM CORONEL JACOB GUILHERME FRANTZ,2,1,66,0.0,52,78.79,524.94,433.16,451.41,419.56,488.46,Grupo 1,50.8,80.77,77.4,10.1,12.5,De 61 a 90 alunos
PB,Poço de José de Moura,EEEFM PROFª FRANCISCA FONSECA MATIAS,2,1,40,0.0,22,55.0,522.94,430.07,438.32,432.85,533.64,Grupo 1,41.4,81.82,92.9,2.1,5.0,De 31 a 60 alunos
PB,Bom Jesus,EEEFM PROF JOAQUIM UMBELINO,2,1,15,0.0,11,73.33,513.52,421.65,474.95,425.74,463.64,Grupo 1,38.6,81.82,90.7,2.7,6.6,De 1 a 30 alunos
PB,Bonito de Santa Fé,EEEFM MONSENHOR MORAIS,2,1,54,0.0,38,70.37,527.12,443.02,470.99,458.37,491.05,Grupo 2,23.4,89.47,83.3,5.9,10.8,De 31 a 60 alunos
PB,Cachoeira dos Índios,EEEFM PROFº ADALBERTO DE SOUSA OLIVEIRA,2,1,106,0.0,55,51.89,517.5,433.49,468.76,435.51,512.36,Grupo 2,54.9,89.09,58.9,10.4,30.7,Maior que 90 alunos
PB,Cajazeiras,COLEGIO NOSSA SRª DE LOURDES,4,1,82,0.0,58,70.73,586.81,514.73,524.82,555.68,651.03,Grupo 4,48.6,86.21,96.5,2.8,0.7,De 61 a 90 alunos
PB,Cajazeiras,COLEGIO NOSSA SRA DO CARMO LTDA,4,1,69,0.0,68,98.55,577.8,506.14,521.4,508.85,624.71,Grupo 3,48.6,91.18,96.0,3.0,1.0,De 61 a 90 alunos
PB,Cajazeiras,EEEFM PROF MANOEL MANGUEIRA LIMA,2,1,50,0.0,30,60.0,520.81,450.33,483.06,439.74,500.67,Grupo 2,65.8,76.67,76.2,9.8,14.0,De 31 a 60 alunos
PB,Cajazeiras,EEEFM PROFº CRISPIM COELHO,2,1,66,1.0,49,74.24,550.71,453.94,499.21,452.1,560.82,Grupo 2,65.0,77.55,54.9,21.5,23.6,De 61 a 90 alunos
PB,Cajazeiras,EEEFM CRISTIANO CARTAXO,2,1,50,0.0,36,72.0,528.93,439.67,487.51,413.58,548.33,Grupo 2,52.0,72.22,68.1,17.9,14.0,De 31 a 60 alunos
PB,Cajazeiras,EEEFM MONS CONSTANTINO VIEIRA,2,1,192,1.0,129,67.19,537.26,448.7,483.83,449.83,555.5,Grupo 2,54.8,73.64,65.0,15.8,19.2,Maior que 90 alunos
PB,Cajazeiras,IFPB - CAMPUS CAJAZEIRAS,1,1,71,1.0,61,85.92,580.24,489.83,518.97,477.41,623.28,Grupo 1,78.4,90.16,83.6,15.3,1.1,De 61 a 90 alunos
